Time,system.u,system.x,system.y
20.82,2,4.99265,15.178
20.88,2,4.99309,15.1793
20.94,2,4.9935,15.1805
21,2,4.9939,15.1817
21.06,2,4.99426,15.1828
21.12,2,4.99461,15.1838
21.18,2,4.99493,15.1848
21.24,2,4.99523,15.1857
21.3,2,4.99551,15.1865
21.36,2,4.99578,15.1873
21.42,2,4.99603,15.1881
21.48,2,4.99627,15.1888
21.54,2,4.99649,15.1895
21.6,2,4.9967,15.1901
21.66,2,4.9969,15.1907
21.72,2,4.99708,15.1912
21.78,2,4.99725,15.1918
21.84,2,4.99741,15.1922
21.9,2,4.99757,15.1927
21.96,2,4.99771,15.1931
22.02,2,4.99785,15.1935
22.08,2,4.99797,15.1939
22.14,2,4.99809,15.1943
22.2,2,4.9982,15.1946
22.26,2,4.99831,15.1949
22.32,2,4.99841,15.1952
22.38,2,4.9985,15.1955
22.44,2,4.99859,15.1958
22.5,2,4.99867,15.196
22.56,2,4.99875,15.1963
22.62,2,4.99883,15.1965
22.68,2,4.9989,15.1967
22.74,2,4.99896,15.1969
22.8,2,4.99902,15.1971
22.86,2,4.99908,15.1972
22.92,2,4.99914,15.1974
22.98,2,4.99919,15.1976
23.04,2,4.99924,15.1977
23.1,2,4.99928,15.1978
23.16,2,4.99932,15.198
23.22,2,4.99936,15.1981
23.28,2,4.9994,15.1982
23.34,2,4.99944,15.1983
23.4,2,4.99947,15.1984
23.46,2,4.9995,15.1985
23.52,2,4.99953,15.1986
23.58,2,4.99956,15.1987
23.64,2,4.99958,15.1987
23.7,2,4.99961,15.1988
23.76,2,4.99963,15.1989
23.82,2,4.99965,15.1989
23.88,2,4.99967,15.199
23.94,2,4.99968,15.1991
24,2,4.9997,15.1991
24.06,2,4.99972,15.1992
24.12,2,4.99973,15.1992
24.18,2,4.99974,15.1992
24.24,2,4.99976,15.1993
24.3,2,4.99976,15.1993
24.36,2,4.99977,15.1993
24.42,2,4.99978,15.1993
24.48,2,4.99979,15.1994
24.54,2,4.9998,15.1994
24.6,2,4.9998,15.1994
24.66,2,4.99981,15.1994
24.72,2,4.99981,15.1994
24.78,2,4.99982,15.1994
24.84,2,4.99982,15.1995
24.9,2,4.99983,15.1995
24.96,2,4.99983,15.1995
25.02,2,4.99984,15.1995
25.08,2,4.99984,15.1995
25.14,2,4.99985,15.1995
25.2,2,4.99985,15.1995
25.26,2,4.99985,15.1995
25.32,2,4.99985,15.1996
25.38,2,4.99985,15.1996
25.44,2,4.99985,15.1996
25.5,2,4.99985,15.1996
25.56,2,4.99986,15.1996
25.62,2,4.99986,15.1996
25.68,2,4.99986,15.1996
25.74,2,4.99986,15.1996
25.8,2,4.99986,15.1996
25.86,2,4.99987,15.1996
25.92,2,4.99987,15.1996
25.98,2,4.99987,15.1996
26.04,2,4.99988,15.1996
26.1,2,4.99988,15.1996
26.16,2,4.99988,15.1997
26.22,2,4.99989,15.1997
26.28,2,4.99989,15.1997
26.34,2,4.99989,15.1997
26.4,2,4.9999,15.1997
26.46,2,4.9999,15.1997
26.52,2,4.9999,15.1997
26.58,2,4.99991,15.1997
26.64,2,4.99991,15.1997
26.7,2,4.99991,15.1997
26.76,2,4.99992,15.1998
26.82,2,4.99992,15.1998
26.88,2,4.99992,15.1998
26.94,2,4.99993,15.1998
27,2,4.99993,15.1998
27.06,2,4.99994,15.1998
27.12,2,4.99994,15.1998
27.18,2,4.99995,15.1998
27.24,2,4.99995,15.1999
27.3,2,4.99996,15.1999
27.36,2,4.99996,15.1999
27.42,2,4.99997,15.1999
27.48,2,4.99997,15.1999
27.54,2,4.99998,15.1999
27.6,2,4.99998,15.2
27.66,2,4.99999,15.2
27.72,2,5,15.2
27.78,2,5,15.2
27.84,2,5.00001,15.2
27.9,2,5.00001,15.2
27.96,2,5.00002,15.2001
28.02,2,5.00002,15.2001
28.08,2,5.00003,15.2001
28.14,2,5.00003,15.2001
28.2,2,5.00004,15.2001
28.26,2,5.00004,15.2001
28.32,2,5.00005,15.2001
28.38,2,5.00005,15.2002
28.44,2,5.00005,15.2002
28.5,2,5.00006,15.2002
28.56,2,5.00006,15.2002
28.62,2,5.00006,15.2002
28.68,2,5.00006,15.2002
28.74,2,5.00007,15.2002
28.8,2,5.00007,15.2002
28.86,2,5.00007,15.2002
28.92,2,5.00007,15.2002
28.98,2,5.00007,15.2002
29.04,2,5.00007,15.2002
29.1,2,5.00007,15.2002
29.16,2,5.00007,15.2002
29.22,2,5.00008,15.2002
29.28,2,5.00008,15.2002
29.34,2,5.00008,15.2002
29.4,2,5.00008,15.2002
29.46,2,5.00008,15.2002
29.52,2,5.00008,15.2002
29.58,2,5.00008,15.2002
29.64,2,5.00007,15.2002
29.7,2,5.00007,15.2002
29.76,2,5.00007,15.2002
29.82,2,5.00007,15.2002
29.88,2,5.00006,15.2002
29.94,2,5.00006,15.2002
30,2,5.00005,15.2002
30,2,5.00005,15.2002
