,TZon,TAmb,Q_HP1,Q_HP2,Q_GB,QCon,I_GloHor_sat,prfVen,prfOcc,powEle,T_EMI_sup
2015-01-15 18:50:00+01:00,295.4629985809326,280.9675957202911,0.0,0.0,0.0,0.0,0.0,1.0,0.07891909483178594,6199.9993324279785,305.0791473388672
2015-01-15 18:55:00+01:00,295.3729984283447,281.08194062709805,0.0,0.0,0.0,0.0,0.0,1.0,0.07907263390115057,6199.9993324279785,304.7829525947571
2015-01-15 19:00:00+01:00,295.31399841308587,281.2404749393463,0.0,0.0,0.0,0.0,0.0,1.0,0.07922617297051521,6199.9993324279785,304.56530694961543
2015-01-15 19:05:00+01:00,295.26599807739257,281.1551474332809,0.0,0.0,0.0,0.0,0.0,0.0,0.07937971203987983,7499.999642372131,304.3126130104065
2015-01-15 19:10:00+01:00,295.2249988555908,281.2002756595612,0.0,0.0,0.0,0.0,0.0,0.0,0.07953325110924446,7499.999642372131,304.1246170043945
2015-01-15 19:15:00+01:00,295.1909996032715,281.2416213035583,0.0,0.0,0.0,0.0,0.0,0.0,0.0796867901786091,7499.999642372131,303.94678659439086
2015-01-15 19:20:00+01:00,295.15199966430663,281.2183310508728,0.0,0.0,0.0,0.0,0.0,0.0,0.07984032924797373,7500.000596046448,303.87453060150136
2015-01-15 19:25:00+01:00,295.1139995574951,281.24812760353086,0.0,0.0,0.0,0.0,0.0,0.0,0.07999386831733836,7500.000596046448,303.81922454833983
2015-01-15 19:30:00+01:00,295.08199844360354,281.20293388366696,0.0,0.0,0.0,0.0,0.0,0.0,0.08014740738670299,7500.000596046448,303.6347128868103
2015-01-15 19:35:00+01:00,295.04399871826166,281.1456699609756,0.0,0.0,0.0,0.0,0.0,0.0,0.08030094645606763,6700.0004053115845,303.41053466796865
2015-01-15 19:40:00+01:00,295.01399803161615,281.10255749225615,0.0,0.0,0.0,0.0,0.0,0.0,0.08045448552543226,6700.0004053115845,303.2730201721191
2015-01-15 19:45:00+01:00,295.0059989929199,281.07780008316035,0.0,0.0,0.0,0.0,0.0,0.0,0.08060802459479689,6700.0004053115845,303.18931446075436
2015-01-15 19:50:00+01:00,294.9729991912842,281.0114231824875,0.0,0.0,0.0,0.0,0.0,0.0,0.08076156366416153,8300.000309944153,303.0484417915344
2015-01-15 19:55:00+01:00,294.9339981079102,280.9212852954864,0.0,0.0,0.0,0.0,0.0,0.0,0.08091510273352616,8300.000309944153,302.9591369628906
